annee_diplome,discipline,academie,taux_insertion,taux_emploi_stable,salaire_median,taux_emploi_cadre,part_femmes,region,grand_domaine,indice_attractivite,qualite_emploi,parite,cluster
2017,"Lettres, langues, arts",Paris,92.0,58.0,1500.0,46.0,89.0,Île-de-France,"Arts, Lettres & Langues",38.410174880763115,Standard,Majorité Féminine,2
2017,"Lettres, langues, arts",Paris,91.0,66.0,1800.0,57.0,89.0,Île-de-France,"Arts, Lettres & Langues",46.9547622488799,Standard,Majorité Féminine,2
2017,Masters enseignement,Paris,99.0,97.0,1820.0,96.0,86.0,Île-de-France,Enseignement,56.245122127475064,Excellente,Majorité Féminine,2
2017,Informatique,Paris,99.0,89.0,2400.0,93.0,9.0,Île-de-France,Sciences & Tech,74.85474779592427,Excellente,Majorité Masculine,2
2017,"Autres sciences, technologies et santé",Paris,96.0,79.0,2340.0,98.0,32.0,Île-de-France,Sciences & Tech,69.68637086284146,Élevée,Majorité Masculine,2
2017,"Ensemble formations juridiques, économiques et de gestion",Paris,97.0,89.0,2400.0,89.0,58.0,Île-de-France,"Droit, Éco & Gestion",72.6925856337621,Excellente,Mixte,2
2017,"Ensemble sciences, technologies et santé",Paris,98.0,81.0,2440.0,89.0,46.0,Île-de-France,Sciences & Tech,75.05708917473623,Excellente,Mixte,2
2017,Sciences de la vie et de la terre,Paris,90.0,52.0,2120.0,91.0,68.0,Île-de-France,Sciences & Tech,56.141060846943205,Standard,Majorité Féminine,2
2017,Sciences de la vie et de la terre,Paris,99.0,70.0,2390.0,90.0,68.0,Île-de-France,Sciences & Tech,74.53389218095101,Élevée,Majorité Féminine,2
2017,Informatique,Paris,100.0,100.0,2370.0,97.0,10.0,Île-de-France,Sciences & Tech,74.97326203208556,Excellente,Majorité Masculine,2
2017,Masters enseignement,Normandie,98.0,89.0,1700.0,91.0,72.0,Normandie,Enseignement,51.313773666714845,Excellente,Majorité Féminine,1
2017,Gestion,Normandie,96.0,87.0,2120.0,59.0,61.0,Normandie,"Droit, Éco & Gestion",62.62754733342969,Standard,Majorité Féminine,1
2017,"Ensemble sciences, technologies et santé",Normandie,93.0,76.0,2080.0,75.0,36.0,Normandie,Sciences & Tech,58.10088163029339,Élevée,Majorité Masculine,1
2017,Sciences de la vie et de la terre,Normandie,84.0,32.0,1790.0,70.0,58.0,Normandie,Sciences & Tech,39.06633906633906,Standard,Mixte,1
2017,"Ensemble formations juridiques, économiques et de gestion",Normandie,91.0,81.0,1900.0,52.0,62.0,Normandie,"Droit, Éco & Gestion",50.163318398612525,Standard,Majorité Féminine,1
2017,Gestion,Créteil,100.0,88.0,2400.0,81.0,52.0,Île-de-France,"Droit, Éco & Gestion",75.93582887700533,Excellente,Mixte,2
2017,"Ensemble formations juridiques, économiques et de gestion",Versailles,92.0,65.0,2100.0,75.0,66.0,Île-de-France,"Droit, Éco & Gestion",57.661511779158836,Élevée,Majorité Féminine,2
2017,Sciences fondamentales,Versailles,91.0,85.0,2350.0,87.0,82.0,Île-de-France,Sciences & Tech,64.60182107240931,Excellente,Majorité Féminine,2
2017,Masters enseignement,Amiens,99.0,93.0,1750.0,93.0,73.0,Hauts-de-France,Enseignement,53.99913282266223,Excellente,Majorité Féminine,1
2017,Économie,Amiens,88.0,89.0,1880.0,34.0,43.0,Hauts-de-France,Autres disciplines,46.27836392542275,Standard,Mixte,1
2017,Psychologie,Amiens,100.0,59.0,1880.0,84.0,89.0,Hauts-de-France,Sciences Humaines & Sociales,59.25133689839572,Standard,Majorité Féminine,1
2017,"Ensemble sciences, technologies et santé",Amiens,95.0,88.0,2070.0,67.0,28.0,Hauts-de-France,Sciences & Tech,59.942188177482294,Élevée,Majorité Masculine,1
2017,Gestion,Poitiers,96.0,70.0,1980.0,59.0,62.0,Nouvelle-Aquitaine,"Droit, Éco & Gestion",58.13556872380402,Standard,Majorité Féminine,1
2017,Ensemble sciences humaines et sociales,Poitiers,77.0,53.0,1600.0,61.0,72.0,Nouvelle-Aquitaine,Sciences Humaines & Sociales,25.40251481427952,Standard,Majorité Féminine,1
2017,Sciences de la vie et de la terre,Poitiers,92.0,57.0,1790.0,70.0,42.0,Nouvelle-Aquitaine,Sciences & Tech,47.714987714987714,Standard,Mixte,1
2017,Masters enseignement,Limoges,95.0,86.0,1720.0,82.0,67.0,Nouvelle-Aquitaine,Enseignement,48.712241653418126,Excellente,Majorité Féminine,1
